URN;Name;Street;Locality;Address;Town;County;Postcode;Number
116225;Orchard Lea Junior School;Kennedy Avenue;;;Fareham;Hampshire;PO15 6BJ;1329234471
116228;Hook Infant School;Church View;;;Hook;Hampshire;RG27 9NR;1256764487
116230;King's Furlong Infant School and Nursery;Upper Chestnut Drive;;;Basingstoke;Hampshire;RG21 8YJ;1256327024
116231;Kings Furlong Junior School;Upper Chestnut Drive;;;Basingstoke;Hampshire;RG21 8YJ;1256325324
116232;Fairfields Primary School;Council Road;;;Basingstoke;Hampshire;RG21 3DH;1256473886
116233;Park Primary School;Gloucester Road;;;Aldershot;Hampshire;GU11 3SL;1252324159
116234;Alderwood School;Belle Vue Road;;;Aldershot;Hampshire;GU12 4RZ;1252323494
116235;Newport Junior School;Newport Road;;;Aldershot;Hampshire;GU12 4PW;
116236;Park View Infant School;Pinkerton Road;South Ham;;Basingstoke;Hampshire;RG22 6RT;
116237;Park View Primary School;Pinkerton Road;;;Basingstoke;Hampshire;RG22 6RT;1256322616
116238;Worting Infant School;Old Kempshott Lane;;;Basingstoke;Hampshire;RG22 5ET;
116239;Worting Junior School;Chiltern Way;;;Basingstoke;Hampshire;RG22 5BB;
116240;Fernhill Primary School;Field Road;;;Farnborough;Hampshire;GU14 9FX;
116241;Harestock Primary School;Bramshaw Close;Harestock;Harestock Primary School;Winchester;Hampshire;SO22 6LU;1962881026
116242;Weeke Primary School;Stoney Lane;Weeke;;Winchester;Hampshire;SO22 6DR;1962882710
116243;Hazel Wood Infant School;Hazel Farm Road;Totton;;Southampton;Hampshire;SO40 8WU;2380666767
116244;Hart Plain Junior School;Hart Plain Avenue;Cowplain;;Waterlooville;Hampshire;PO8 8SA;2392263200
116245;Meadowlands Junior School;37 Woodcroft Lane;Lovedean;;Waterlooville;Hampshire;PO8 9QD;
116246;Southwood Infant School;Southwood Lane;Southwood;;Farnborough;Hampshire;GU14 0NE;1252375420
116247;Four Lanes Community Junior School;Hanmore Road;Chineham;;Basingstoke;Hampshire;RG24 8PQ;1256816326
116248;Queen's Inclosure Primary School;Cornelius Drive;;;Waterlooville;Hampshire;PO7 8NT;2392268067
116249;Berrywood Primary School;Maunsell Way;Hedge End;;Southampton;Hampshire;SO30 2TL;1489780068
116250;Woodlea Primary School;Atholl Road;Whitehill;;Bordon;Hampshire;GU35 9QX;1420476342
